database,tableName,isTemporary
nzmigration,wm_ilm_appointment_status_temp,False
nzmigration,wm_ilm_appointment_type,False
nzmigration,wm_ilm_appointment_type_temp,False
nzmigration,wm_ilm_appointments,False
nzmigration,wm_ilm_appointments_temp,False
nzmigration,wm_ilm_appt_equipments,False
nzmigration,wm_ilm_appt_equipments_temp,False
nzmigration,wm_ilm_task_status,False
nzmigration,wm_ilm_task_status_temp,False
nzmigration,wm_ilm_yard_activity,False
nzmigration,wm_ilm_yard_activity_temp,False
nzmigration,wm_item_cbo,False
nzmigration,wm_item_cbo_temp,False
nzmigration,wm_item_facility_mapping_wms,False
nzmigration,wm_item_facility_mapping_wms_temp,False
nzmigration,wm_item_facility_slotting,False
nzmigration,wm_item_facility_slotting_temp,False
nzmigration,wm_item_group_wms,False
nzmigration,wm_item_group_wms_temp,False
nzmigration,wm_item_package_cbo,False
nzmigration,wm_item_package_cbo_temp,False
nzmigration,wm_item_wms,False
nzmigration,wm_item_wms_temp,False
nzmigration,wm_labor_activity,False
nzmigration,wm_labor_activity_temp,False
nzmigration,wm_labor_criteria,False
nzmigration,wm_labor_criteria_temp,False
nzmigration,wm_labor_msg,False
nzmigration,wm_labor_msg_crit,False
nzmigration,wm_labor_msg_crit_temp,False
nzmigration,wm_labor_msg_dtl,False
nzmigration,wm_labor_msg_dtl_crit,False
nzmigration,wm_labor_msg_dtl_crit_temp,False
nzmigration,wm_labor_msg_dtl_crit_validation_report_on_2023_07_19_14_08,False
nzmigration,wm_labor_msg_dtl_crit_validation_report_on_2023_07_21_05_31,False
nzmigration,wm_labor_msg_dtl_crit_validation_report_on_2023_07_21_10_57,False
nzmigration,wm_labor_msg_dtl_temp,False
nzmigration,wm_labor_msg_dtl_validation_report_on_2023_07_19_14_06,False
nzmigration,wm_labor_msg_dtl_validation_report_on_2023_07_21_05_30,False
nzmigration,wm_labor_msg_dtl_validation_report_on_2023_07_21_10_55,False
nzmigration,wm_labor_msg_temp,False
nzmigration,wm_labor_tran_dtl_crit,False
nzmigration,wm_labor_tran_dtl_crit_temp,False
nzmigration,wm_locn_grp,False
nzmigration,wm_locn_grp_temp,False
nzmigration,wm_locn_hdr,False
nzmigration,wm_locn_hdr_temp,False
nzmigration,wm_lpn,False
nzmigration,wm_lpn_audit_results,False
nzmigration,wm_lpn_audit_results_temp,False
nzmigration,wm_lpn_detail,False
nzmigration,wm_lpn_detail_temp,False
nzmigration,wm_lpn_facility_status,False
nzmigration,wm_lpn_facility_status_temp,False
nzmigration,wm_lpn_lock,False
nzmigration,wm_lpn_lock_temp,False
nzmigration,wm_lpn_size_type,False
nzmigration,wm_lpn_size_type_temp,False
nzmigration,wm_lpn_status,False
nzmigration,wm_lpn_status_temp,False
nzmigration,wm_lpn_temp,False
nzmigration,wm_lpn_type,False
nzmigration,wm_lpn_type_temp,False
nzmigration,wm_order_line_item,False
nzmigration,wm_order_line_item_temp,False
nzmigration,wm_order_line_item_validation_report_on_2023_07_23_04_38_base_only,False
